Time,Distance
1.7092185020446777,"target pos
"
1.713219165802002,"0
"
1.7540955543518066,"9340
"
1.8084638118743896,"18680
"
1.8574495315551758,"22480
"
1.906165361404419,"24580
"
1.954838514328003,"25960
"
2.0046775341033936,"25560
"
2.057974338531494,"26520
"
2.1063947677612305,"26520
"
2.1564338207244873,"26540
"
2.2052907943725586,"26940
"
2.2577781677246094,"26640
"
2.307440996170044,"25920
"
2.3573925495147705,"26820
"
2.4062867164611816,"26400
"
2.454646110534668,"26560
"
2.507756471633911,"26580
"
2.557953357696533,"26260
"
2.6068663597106934,"26100
"
2.6560683250427246,"26240
"
2.7052526473999023,"26620
"
2.75777530670166,"26600
"
2.8076775074005127,"26520
"
2.856820583343506,"26660
"
2.9057412147521973,"26040
"
2.9545953273773193,"26560
"
3.00761342048645,"26580
"
3.057051658630371,"26460
"
3.1065285205841064,"26600
"
3.1556437015533447,"26420
"
3.208711862564087,"26740
"
3.257894992828369,"26640
"
3.307137966156006,"26480
"
3.3556973934173584,"26760
"
3.409696340560913,"26460
"
3.4582061767578125,"26340
"
3.5076792240142822,"26800
"
3.5567164421081543,"26680
"
3.606142044067383,"26980
"
3.6558706760406494,"26500
"
3.7081656455993652,"26780
"
3.757690668106079,"26240
"
3.8066911697387695,"26540
"
3.8552615642547607,"26860
"
3.904982566833496,"26520
"
3.9574387073516846,"26820
"
4.007415294647217,"26800
"
4.056882858276367,"26080
"
4.106080770492554,"26860
"
4.155133008956909,"26440
"
4.207392930984497,"26780
"
4.257533550262451,"26480
"
4.3063740730285645,"26800
"
4.35584831237793,"26360
"
4.404860734939575,"26680
"
4.458338499069214,"26740
"
4.506547689437866,"26780
"
4.555943727493286,"26580
"
4.604865789413452,"26800
"
4.657869815826416,"26580
"
4.7072248458862305,"26880
"
4.756240606307983,"26800
"
4.805778741836548,"26780
"
4.8594441413879395,"27180
"
4.908559560775757,"26360
"
4.957898139953613,"26800
"
5.006348133087158,"26720
"
5.055963516235352,"26860
"
5.1092915534973145,"26800
"
5.1578967571258545,"26980
"
5.207277059555054,"26520
"
5.256288766860962,"26800
"
5.305927991867065,"26900
"
5.35934591293335,"26900
"
5.408444881439209,"26800
"
5.457808971405029,"26900
"
5.50668478012085,"26160
"
5.555670499801636,"26660
"
5.609202861785889,"26860
"
5.658231496810913,"26660
"
5.706416845321655,"27000
"
5.7554261684417725,"26920
"
5.8057427406311035,"26400
"
5.858281850814819,"26960
"
5.908102989196777,"26840
"
5.957148313522339,"27180
"
6.0066070556640625,"26700
"
6.056285381317139,"26420
"
6.107776165008545,"26900
"
6.1576828956604,"26880
"
6.206300973892212,"26600
"
6.256222486495972,"26860
"
6.308987140655518,"26920
"
6.358774185180664,"26280
"
6.407634735107422,"26880
"
6.457015037536621,"26880
"
6.506207704544067,"26780
"
6.558328628540039,"27160
"
6.608537912368774,"26860
"
